namespace,minikube_k8s_io_name,id,pod,beta_kubernetes_io_os,minikube_k8s_io_version,minikube_k8s_io_updated_at,kubernetes_io_arch,minikube_k8s_io_primary,__name__,instance,cpu,beta_kubernetes_io_arch,kubernetes_io_hostname,job,kubernetes_io_os,minikube_k8s_io_commit,timestamp,pod_cpu_usage,pod_memory_usage
default,minikube,/kubepods.slice/kubepods-besteffort.slice/kubepods-besteffort-pod26e83ed2_e464_433a_a4a4_03523945b553.slice,prometheus-kube-state-metrics-6cf54df84c-vf92k,linux,v1.35.0,2025_04_06T11_26_42_0700,amd64,true,container_memory_working_set_bytes,minikube,total,amd64,minikube,kubernetes-nodes-cadvisor,linux,dd5d320e41b5451cdf3c01891bc4e13d189586ed-dirty,2025-04-23 11:49:57,0.0010132389397598,57245696
default,minikube,/kubepods.slice/kubepods-besteffort.slice/kubepods-besteffort-pod26e83ed2_e464_433a_a4a4_03523945b553.slice,prometheus-kube-state-metrics-6cf54df84c-vf92k,linux,v1.35.0,2025_04_06T11_26_42_0700,amd64,true,container_memory_working_set_bytes,minikube,total,amd64,minikube,kubernetes-nodes-cadvisor,linux,dd5d320e41b5451cdf3c01891bc4e13d189586ed-dirty,2025-04-23 11:50:12,0.0010132389397598,57245696
default,minikube,/kubepods.slice/kubepods-besteffort.slice/kubepods-besteffort-pod26e83ed2_e464_433a_a4a4_03523945b553.slice,prometheus-kube-state-metrics-6cf54df84c-vf92k,linux,v1.35.0,2025_04_06T11_26_42_0700,amd64,true,container_memory_working_set_bytes,minikube,total,amd64,minikube,kubernetes-nodes-cadvisor,linux,dd5d320e41b5451cdf3c01891bc4e13d189586ed-dirty,2025-04-23 11:50:27,0.0010661052914466,57245696
default,minikube,/kubepods.slice/kubepods-besteffort.slice/kubepods-besteffort-pod26e83ed2_e464_433a_a4a4_03523945b553.slice,prometheus-kube-state-metrics-6cf54df84c-vf92k,linux,v1.35.0,2025_04_06T11_26_42_0700,amd64,true,container_memory_working_set_bytes,minikube,total,amd64,minikube,kubernetes-nodes-cadvisor,linux,dd5d320e41b5451cdf3c01891bc4e13d189586ed-dirty,2025-04-23 11:50:42,0.001074267532919,57339904
default,minikube,/kubepods.slice/kubepods-besteffort.slice/kubepods-besteffort-pod26e83ed2_e464_433a_a4a4_03523945b553.slice,prometheus-kube-state-metrics-6cf54df84c-vf92k,linux,v1.35.0,2025_04_06T11_26_42_0700,amd64,true,container_memory_working_set_bytes,minikube,total,amd64,minikube,kubernetes-nodes-cadvisor,linux,dd5d320e41b5451cdf3c01891bc4e13d189586ed-dirty,2025-04-23 11:50:57,0.001074267532919,57339904
default,minikube,/kubepods.slice/kubepods-besteffort.slice/kubepods-besteffort-pod26e83ed2_e464_433a_a4a4_03523945b553.slice,prometheus-kube-state-metrics-6cf54df84c-vf92k,linux,v1.35.0,2025_04_06T11_26_42_0700,amd64,true,container_memory_working_set_bytes,minikube,total,amd64,minikube,kubernetes-nodes-cadvisor,linux,dd5d320e41b5451cdf3c01891bc4e13d189586ed-dirty,2025-04-23 11:51:12,0.001074267532919,57339904
default,minikube,/kubepods.slice/kubepods-besteffort.slice/kubepods-besteffort-pod26e83ed2_e464_433a_a4a4_03523945b553.slice,prometheus-kube-state-metrics-6cf54df84c-vf92k,linux,v1.35.0,2025_04_06T11_26_42_0700,amd64,true,container_memory_working_set_bytes,minikube,total,amd64,minikube,kubernetes-nodes-cadvisor,linux,dd5d320e41b5451cdf3c01891bc4e13d189586ed-dirty,2025-04-23 11:51:27,0.001074267532919,57339904
default,minikube,/kubepods.slice/kubepods-besteffort.slice/kubepods-besteffort-pod26e83ed2_e464_433a_a4a4_03523945b553.slice,prometheus-kube-state-metrics-6cf54df84c-vf92k,linux,v1.35.0,2025_04_06T11_26_42_0700,amd64,true,container_memory_working_set_bytes,minikube,total,amd64,minikube,kubernetes-nodes-cadvisor,linux,dd5d320e41b5451cdf3c01891bc4e13d189586ed-dirty,2025-04-23 11:51:42,0.0010944954980042,57352192
default,minikube,/kubepods.slice/kubepods-besteffort.slice/kubepods-besteffort-pod26e83ed2_e464_433a_a4a4_03523945b553.slice,prometheus-kube-state-metrics-6cf54df84c-vf92k,linux,v1.35.0,2025_04_06T11_26_42_0700,amd64,true,container_memory_working_set_bytes,minikube,total,amd64,minikube,kubernetes-nodes-cadvisor,linux,dd5d320e41b5451cdf3c01891bc4e13d189586ed-dirty,2025-04-23 11:51:57,0.0010944954980042,57352192
default,minikube,/kubepods.slice/kubepods-besteffort.slice/kubepods-besteffort-pod26e83ed2_e464_433a_a4a4_03523945b553.slice,prometheus-kube-state-metrics-6cf54df84c-vf92k,linux,v1.35.0,2025_04_06T11_26_42_0700,amd64,true,container_memory_working_set_bytes,minikube,total,amd64,minikube,kubernetes-nodes-cadvisor,linux,dd5d320e41b5451cdf3c01891bc4e13d189586ed-dirty,2025-04-23 11:52:12,0.0010944954980042,57352192
default,minikube,/kubepods.slice/kubepods-besteffort.slice/kubepods-besteffort-pod26e83ed2_e464_433a_a4a4_03523945b553.slice,prometheus-kube-state-metrics-6cf54df84c-vf92k,linux,v1.35.0,2025_04_06T11_26_42_0700,amd64,true,container_memory_working_set_bytes,minikube,total,amd64,minikube,kubernetes-nodes-cadvisor,linux,dd5d320e41b5451cdf3c01891bc4e13d189586ed-dirty,2025-04-23 11:52:27,0.0010915210516086,57380864
default,minikube,/kubepods.slice/kubepods-besteffort.slice/kubepods-besteffort-pod26e83ed2_e464_433a_a4a4_03523945b553.slice,prometheus-kube-state-metrics-6cf54df84c-vf92k,linux,v1.35.0,2025_04_06T11_26_42_0700,amd64,true,container_memory_working_set_bytes,minikube,total,amd64,minikube,kubernetes-nodes-cadvisor,linux,dd5d320e41b5451cdf3c01891bc4e13d189586ed-dirty,2025-04-23 11:52:42,0.0010757370637785,57380864
